sample_id,path,metadata_path,donor_id,assay,protocol,n_annotated_cells,n_annotated_types,include
HTAPP-963-SMP-4741_CST,data/gse140819/raw/HTAPP-963-SMP-4741_CST.h5,data/gse140819/metadata/HTAPP-963-SMP-4741_CST.csv,HTAPP-963-SMP-4741,snRNA,CST,9857,7,True
HTAPP-963-SMP-4741_TST,data/gse140819/raw/HTAPP-963-SMP-4741_TST.h5,data/gse140819/metadata/HTAPP-963-SMP-4741_TST.csv,HTAPP-963-SMP-4741,snRNA,TST,7260,7,True
HTAPP-963-SMP-4741_fresh,data/gse140819/raw/HTAPP-963-SMP-4741_fresh.h5,data/gse140819/metadata/HTAPP-963-SMP-4741_fresh.csv,HTAPP-963-SMP-4741,scRNA,fresh,5163,8,True
HTAPP-975-SMP-4771_TST-V3,data/gse140819/raw/HTAPP-975-SMP-4771_TST-V3.h5,data/gse140819/metadata/HTAPP-975-SMP-4771_TST-V3.csv,HTAPP-975-SMP-4771,snRNA,TST-V3,4317,8,True
HTAPP-StJude-SMP-PDX1_cell,data/gse140819/raw/HTAPP-StJude-SMP-PDX1_cell.h5,data/gse140819/metadata/HTAPP-StJude-SMP-PDX1_cell.csv,HTAPP-StJude-SMP-PDX1,scRNA,cell,3495,1,True
HTAPP-StJude-SMP-PDX1_nuclei,data/gse140819/raw/HTAPP-StJude-SMP-PDX1_nuclei.h5,data/gse140819/metadata/HTAPP-StJude-SMP-PDX1_nuclei.csv,HTAPP-StJude-SMP-PDX1,snRNA,nuclei,4946,1,True
MGH125_fresh,data/gse140819/raw/MGH125_fresh.h5,data/gse140819/metadata/MGH125_fresh.csv,MGH125,scRNA,fresh,1077,5,True
NSCLC14_fresh-C4,data/gse140819/raw/NSCLC14_fresh-C4.h5,data/gse140819/metadata/NSCLC14_fresh-C4.csv,NSCLC14,scRNA,fresh-C4,5139,4,True
NSCLC14_fresh-LE,data/gse140819/raw/NSCLC14_fresh-LE.h5,data/gse140819/metadata/NSCLC14_fresh-LE.csv,NSCLC14,scRNA,fresh-LE,4345,7,True
NSCLC14_fresh-PDEC,data/gse140819/raw/NSCLC14_fresh-PDEC.h5,data/gse140819/metadata/NSCLC14_fresh-PDEC.csv,NSCLC14,scRNA,fresh-PDEC,4911,7,True
NSCLC17_fresh-PDEC,data/gse140819/raw/NSCLC17_fresh-PDEC.h5,data/gse140819/metadata/NSCLC17_fresh-PDEC.csv,NSCLC17,scRNA,fresh-PDEC,2998,7,True
NSCLC17_fresh-cd45n,data/gse140819/raw/NSCLC17_fresh-cd45n.h5,data/gse140819/metadata/NSCLC17_fresh-cd45n.csv,NSCLC17,scRNA,fresh-cd45n,10716,3,True
